id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,release_decade,mood_tags,instrumentalness,liveness,speechiness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18,2020,uplifting|dance,0.00,0.15,0.08
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71,2020,study|calm|instrumental,0.75,0.08,0.02
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10,2020,guitar|anthemic|intense,0.00,0.18,0.05
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86,2020,study|calm|instrumental,0.80,0.08,0.01
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05,2020,workout|dance|energetic,0.00,0.18,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92,2020,ambient|sleep|instrumental,0.85,0.05,0.00
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89,2020,jazz|coffee|relaxed,0.35,0.12,0.04
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22,2020,synth|night-drive|moody,0.05,0.10,0.03
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78,2020,study|focused|instrumental,0.65,0.08,0.02
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35,2020,uplifting|indie|dance,0.05,0.14,0.06
11,Happy,Pharrell Williams,pop,happy,0.82,160,0.92,0.75,0.10,2010,uplifting|dance,0.00,0.15,0.08
12,Everlong,Foo Fighters,rock,intense,0.88,158,0.38,0.49,0.02,1990,guitar|anthemic|intense,0.00,0.18,0.05
13,Enter Sandman,Metallica,rock,intense,0.86,123,0.33,0.51,0.00,1990,guitar|heavy|intense,0.00,0.12,0.03
14,Levels,Avicii,electronic,energetic,0.93,126,0.77,0.81,0.02,2010,festival|dance|energetic,0.00,0.10,0.02
15,Strobe,deadmau5,electronic,focused,0.62,128,0.42,0.64,0.02,2000,progressive|instrumental|focused,0.92,0.12,0.01
16,Midnight City,M83,electronic,happy,0.79,105,0.78,0.74,0.10,2010,synth|night-drive|uplifting,0.15,0.15,0.03
17,An Ending (Ascent),Brian Eno,ambient,chill,0.12,60,0.45,0.10,0.95,1980,ambient|instrumental|calm,0.95,0.05,0.00
18,Weightless,Marconi Union,ambient,relaxed,0.18,70,0.42,0.20,0.95,2010,ambient|sleep|calm,0.85,0.05,0.00
19,So What,Miles Davis,jazz,relaxed,0.25,140,0.35,0.30,0.98,1950,jazz|improvised|instrumental,0.88,0.20,0.01
20,Blue in Green,Miles Davis,jazz,chill,0.15,65,0.25,0.12,0.98,1950,jazz|ballad|instrumental,0.92,0.10,0.01
